Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop
20,100000,50000,0,1.0,0.0,0.1

Temperature,K,Spatial Spin Correlation
2.0,1,0.00131388888889
2.0,2,0.000786111111111
2.0,3,-0.000158333333333
2.0,4,-0.000575
2.0,5,-0.000908333333333
2.0,6,-0.000658333333333
2.0,7,-0.00126944444444
2.0,8,-0.000491666666667
2.0,9,-0.00104722222222
2.0,10,-0.00110277777778
2.0,11,-0.00124166666667
2.0,12,-0.00143611111111
2.0,13,-0.00149166666667
2.0,14,-0.001075
2.0,15,-0.00126944444444
2.0,16,-0.000852777777778
2.0,17,-0.000602777777778
2.0,18,0.00106388888889
2.0,19,0.00261944444444
2.1,1,0.000886111111111
2.1,2,-0.000752777777778
2.1,3,-0.000752777777778
2.1,4,-0.000752777777778
2.1,5,-0.000836111111111
2.1,6,-8.61111111111e-05
2.1,7,-0.000391666666667
2.1,8,-0.000447222222222
2.1,9,-0.000558333333333
2.1,10,-0.000113888888889
2.1,11,-0.000780555555556
2.1,12,0.000136111111111
2.1,13,-0.000530555555556
2.1,14,-0.000447222222222
2.1,15,-0.000975
2.1,16,-0.000919444444444
2.1,17,-0.00108611111111
2.1,18,-0.000169444444444
2.1,19,0.00169166666667
2.2,1,0.00484444444444
2.2,2,0.00181666666667
2.2,3,-1.66666666667e-05
2.2,4,-0.000127777777778
2.2,5,-0.00137777777778
2.2,6,-0.0036
2.2,7,-0.0041
2.2,8,-0.00465555555556
2.2,9,-0.00368333333333
2.2,10,-0.00226666666667
2.2,11,-0.00287777777778
2.2,12,-0.00248888888889
2.2,13,-0.00265555555556
2.2,14,-0.00168333333333
2.2,15,-0.000516666666667
2.2,16,-0.00104444444444
2.2,17,-1.66666666667e-05
2.2,18,0.00109444444444
2.2,19,0.00478888888889
2.3,1,0.0137055555556
2.3,2,0.00670555555556
2.3,3,0.00631666666667
2.3,4,0.00151111111111
2.3,5,-0.0036
2.3,6,-0.00726666666667
2.3,7,-0.00890555555556
2.3,8,-0.00985
2.3,9,-0.0113222222222
2.3,10,-0.0121277777778
2.3,11,-0.0108777777778
2.3,12,-0.00621111111111
2.3,13,-0.00521111111111
2.3,14,-0.00529444444444
2.3,15,-0.00429444444444
2.3,16,-0.0006
2.3,17,0.00492777777778
2.3,18,0.00681666666667
2.3,19,0.0140388888889
2.4,1,0.0174611111111
2.4,2,0.00954444444444
2.4,3,0.00518333333333
2.4,4,-0.00065
2.4,5,-0.00412222222222
2.4,6,-0.00637222222222
2.4,7,-0.0122611111111
2.4,8,-0.0144555555556
2.4,9,-0.0147611111111
2.4,10,-0.0151777777778
2.4,11,-0.0137611111111
2.4,12,-0.0100388888889
2.4,13,-0.00887222222222
2.4,14,-0.00373333333333
2.4,15,-0.00145555555556
2.4,16,0.00123888888889
2.4,17,0.00529444444444
2.4,18,0.00837777777778
2.4,19,0.0173777777778
2.5,1,0.0172555555556
2.5,2,0.00533888888889
2.5,3,-0.000661111111111
2.5,4,-0.00349444444444
2.5,5,-0.00313333333333
2.5,6,-0.00157777777778
2.5,7,-0.00543888888889
2.5,8,-0.0102722222222
2.5,9,-0.00988333333333
2.5,10,-0.00821666666667
2.5,11,-0.0130777777778
2.5,12,-0.0148555555556
2.5,13,-0.0101888888889
2.5,14,-0.00649444444444
2.5,15,-0.00102222222222
2.5,16,-0.00163333333333
2.5,17,0.00103333333333
2.5,18,0.0077
2.5,19,0.0174777777778
2.6,1,0.00999444444444
2.6,2,0.00316111111111
2.6,3,-0.00164444444444
2.6,4,-0.00186666666667
2.6,5,-0.00275555555556
2.6,6,-0.00342222222222
2.6,7,-0.00697777777778
2.6,8,-0.00689444444444
2.6,9,-0.00803333333333
2.6,10,-0.00742222222222
2.6,11,-0.00447777777778
2.6,12,-0.0052
2.6,13,-0.00536666666667
2.6,14,-0.00550555555556
2.6,15,-0.00336666666667
2.6,16,-0.0012
2.6,17,-0.000783333333333
2.6,18,0.00238333333333
2.6,19,0.0110777777778
